# Generated by python3 scripts/sdk_operation_inventory.py --write
route_id	method	path	surface	authentication	admission	effect	transport	feature_gate	sdk	openapi	mcp	private_no_store
application.accounts_by_account_id_transactions_get	GET	/v1/accounts/{account_id}/transactions	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.accounts_by_account_id_transactions_query_post	POST	/v1/accounts/{account_id}/transactions/query	public	optional_canonical_account_signature	dataspace_visible	compute	http	feature(app_api)	true	true	false	true
application.accounts_by_uaid_portfolio_get	GET	/v1/accounts/{uaid}/portfolio	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.accounts_capabilities_get	GET	/v1/accounts/capabilities	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.accounts_faucet_post	POST	/v1/accounts/faucet	public	protocol_handshake	authenticated_protocol_principal	mutation	http	feature(app_api)	true	true	false	false
application.accounts_faucet_prepare_post	POST	/v1/accounts/faucet/prepare	public	protocol_handshake	authenticated_protocol_principal	compute	http	feature(app_api)	true	true	false	false
application.accounts_faucet_puzzle_get	GET	/v1/accounts/faucet/puzzle	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.accounts_get	GET	/v1/accounts	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.accounts_onboard_plan_post	POST	/v1/accounts/onboard/plan	public	onboarding_token	operator	compute	http	feature(app_api)	true	true	false	true
application.accounts_onboard_post	POST	/v1/accounts/onboard	public	onboarding_token	operator	mutation	http	feature(app_api)	true	true	false	true
application.accounts_onboard_prepare_post	POST	/v1/accounts/onboard/prepare	public	onboarding_token	operator	compute	http	feature(app_api)	true	true	false	true
application.accounts_onboarding_current_state_post	POST	/v1/accounts/onboarding/current-state	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.accounts_onboarding_readiness_get	GET	/v1/accounts/onboarding/readiness	public	onboarding_token	operator	read	http	feature(app_api)	true	true	false	true
application.accounts_query_post	POST	/v1/accounts/query	public	optional_canonical_account_signature	dataspace_visible	compute	http	feature(app_api)	true	true	false	true
application.api_cid_by_cid_by_path_get	GET	/v1/api/cid/{cid}/{*path}	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.api_cid_by_cid_by_path_post	POST	/v1/api/cid/{cid}/{*path}	public	canonical_account_signature	authenticated_account	compute	http	feature(app_api)	true	false	false	true
application.api_cid_by_cid_get	GET	/v1/api/cid/{cid}	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.app_api_active_by_path_get	GET	/v1/app-api/active/{*path}	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.app_api_active_by_path_post	POST	/v1/app-api/active/{*path}	public	canonical_account_signature	authenticated_account	compute	http	feature(app_api)	true	false	false	true
application.app_api_bindings_get	GET	/v1/app-api/bindings	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.app_api_cid_by_cid_by_path_get	GET	/v1/app-api/cid/{cid}/{*path}	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.app_api_cid_by_cid_by_path_post	POST	/v1/app-api/cid/{cid}/{*path}	public	canonical_account_signature	authenticated_account	compute	http	feature(app_api)	true	false	false	true
application.app_api_cid_by_cid_get	GET	/v1/app-api/cid/{cid}	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.assets_definitions_by_asset_get	GET	/v1/assets/definitions/{asset}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.assets_definitions_get	GET	/v1/assets/definitions	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.assets_definitions_query_post	POST	/v1/assets/definitions/query	public	optional_canonical_account_signature	dataspace_visible	compute	http	feature(app_api)	true	true	false	true
application.confidential_assets_by_definition_id_transitions_get	GET	/v1/confidential/assets/{definition_id}/transitions	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.contracts_activity_get	GET	/v1/contracts/activity	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.contracts_events_get	GET	/v1/contracts/events	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.contracts_rollups_dlmm_hooks_get	GET	/v1/contracts/rollups/dlmm/hooks	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	false	false	true
application.contracts_rollups_intents_get	GET	/v1/contracts/rollups/intents	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	false	false	true
application.contracts_rollups_margin_health_get	GET	/v1/contracts/rollups/margin/health	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	false	false	true
application.contracts_rollups_operators_status_get	GET	/v1/contracts/rollups/operators/status	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	false	false	true
application.contracts_rollups_rwa_lots_get	GET	/v1/contracts/rollups/rwa/lots	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	false	false	true
application.contracts_rollups_swaps_candles_get	GET	/v1/contracts/rollups/swaps/candles	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.contracts_rollups_swaps_fills_get	GET	/v1/contracts/rollups/swaps/fills	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.contracts_rollups_trader_account_get	GET	/v1/contracts/rollups/trader/account	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.contracts_rollups_trader_activity_get	GET	/v1/contracts/rollups/trader/activity	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.contracts_rollups_uranai_markets_history_get	GET	/v1/contracts/rollups/uranai/markets/history	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.contracts_rollups_vaults_positions_get	GET	/v1/contracts/rollups/vaults/positions	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	false	false	true
application.domains_get	GET	/v1/domains	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.domains_query_post	POST	/v1/domains/query	public	optional_canonical_account_signature	dataspace_visible	compute	http	feature(app_api)	true	true	false	true
application.explorer_accounts_by_account_id_get	GET	/v1/explorer/accounts/{account_id}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_accounts_by_account_id_qr_get	GET	/v1/explorer/accounts/{account_id}/qr	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_accounts_get	GET	/v1/explorer/accounts	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_asset_definitions_by_definition_id_econometrics_get	GET	/v1/explorer/asset-definitions/{definition_id}/econometrics	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_asset_definitions_by_definition_id_get	GET	/v1/explorer/asset-definitions/{definition_id}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_asset_definitions_by_definition_id_snapshot_get	GET	/v1/explorer/asset-definitions/{definition_id}/snapshot	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_asset_definitions_get	GET	/v1/explorer/asset-definitions	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_assets_by_asset_id_get	GET	/v1/explorer/assets/{asset_id}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_assets_get	GET	/v1/explorer/assets	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_blocks_by_identifier_get	GET	/v1/explorer/blocks/{identifier}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_blocks_get	GET	/v1/explorer/blocks	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_blocks_stream_get	GET	/v1/explorer/blocks/stream	protocol	optional_canonical_account_signature	dataspace_visible	stream	sse	feature(app_api)	false	true	false	true
application.explorer_domains_by_domain_id_get	GET	/v1/explorer/domains/{domain_id}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_domains_get	GET	/v1/explorer/domains	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_health_get	GET	/v1/explorer/health	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.explorer_instructions_by_hash_by_index_contract_view_get	GET	/v1/explorer/instructions/{hash}/{index}/contract-view	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	false	false	true
application.explorer_instructions_by_hash_by_index_get	GET	/v1/explorer/instructions/{hash}/{index}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_instructions_get	GET	/v1/explorer/instructions	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_instructions_latest_get	GET	/v1/explorer/instructions/latest	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	false	false	true
application.explorer_instructions_stream_get	GET	/v1/explorer/instructions/stream	protocol	optional_canonical_account_signature	dataspace_visible	stream	sse	all(app_api,telemetry)	false	true	false	true
application.explorer_metrics_get	GET	/v1/explorer/metrics	diagnostic	canonical_account_signature	authenticated_account	read	http	all(app_api,telemetry)	false	true	false	true
application.explorer_nfts_by_nft_id_get	GET	/v1/explorer/nfts/{nft_id}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_nfts_get	GET	/v1/explorer/nfts	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_rwas_by_rwa_id_get	GET	/v1/explorer/rwas/{rwa_id}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_rwas_get	GET	/v1/explorer/rwas	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_transactions_by_hash_get	GET	/v1/explorer/transactions/{hash}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_transactions_get	GET	/v1/explorer/transactions	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.explorer_transactions_latest_get	GET	/v1/explorer/transactions/latest	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	false	false	true
application.explorer_transactions_stream_get	GET	/v1/explorer/transactions/stream	protocol	optional_canonical_account_signature	dataspace_visible	stream	sse	feature(app_api)	false	true	false	true
application.identifier_policies_get	GET	/v1/identifier-policies	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.identifiers_receipts_by_receipt_hash_get	GET	/v1/identifiers/receipts/{receipt_hash}	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.identifiers_resolve_post	POST	/v1/identifiers/resolve	public	canonical_account_signature	authenticated_account	compute	http	feature(app_api)	true	true	false	true
application.internal_accounts_by_account_id_assets_by_asset_definition_id_get	GET	/v1/internal/accounts/{account_id}/assets/{asset_definition_id}	public	torii_default	public	read	http	feature(app_api)	false	false	false	false
application.internal_accounts_by_account_id_get	GET	/v1/internal/accounts/{account_id}	public	torii_default	public	read	http	feature(app_api)	false	false	false	false
application.internal_accounts_by_account_id_transactions_by_entrypoint_hash_get	GET	/v1/internal/accounts/{account_id}/transactions/{entrypoint_hash}	public	torii_default	public	read	http	feature(app_api)	false	false	false	false
application.kaigi_calls_by_call_id_events_get	GET	/v1/kaigi/calls/{call_id}/events	protocol	canonical_account_signature	authenticated_account	stream	sse	feature(app_api)	false	false	false	true
application.kaigi_calls_by_call_id_get	GET	/v1/kaigi/calls/{call_id}	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.kaigi_calls_by_call_id_signals_get	GET	/v1/kaigi/calls/{call_id}/signals	public	canonical_account_signature	authenticated_account	compute	http	feature(app_api)	true	false	false	true
application.kaigi_relays_by_relay_id_get	GET	/v1/kaigi/relays/{relay_id}	public	operator_signature	operator	read	http	feature(app_api)	true	true	false	true
application.kaigi_relays_events_get	GET	/v1/kaigi/relays/events	protocol	canonical_account_signature	authenticated_account	stream	sse	feature(app_api)	false	true	false	true
application.kaigi_relays_get	GET	/v1/kaigi/relays	public	operator_signature	operator	compute	http	feature(app_api)	true	true	false	true
application.kaigi_relays_health_get	GET	/v1/kaigi/relays/health	public	operator_signature	operator	compute	http	feature(app_api)	true	true	false	true
application.nexus_dataspaces_accounts_by_literal_summary_get	GET	/v1/nexus/dataspaces/accounts/{literal}/summary	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.nexus_public_lanes_by_lane_id_rewards_pending_get	GET	/v1/nexus/public-lanes/{lane_id}/rewards/pending	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.nexus_public_lanes_by_lane_id_stake_get	GET	/v1/nexus/public-lanes/{lane_id}/stake	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.nexus_public_lanes_by_lane_id_validators_get	GET	/v1/nexus/public-lanes/{lane_id}/validators	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.nfts_get	GET	/v1/nfts	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.nfts_query_post	POST	/v1/nfts/query	public	optional_canonical_account_signature	dataspace_visible	compute	http	feature(app_api)	true	true	false	true
application.notify_devices_delete	DELETE	/v1/notify/devices	public	canonical_account_signature	authenticated_account	mutation	http	all(app_api,push)	true	true	false	true
application.notify_devices_post	POST	/v1/notify/devices	public	canonical_account_signature	authenticated_account	mutation	http	all(app_api,push)	true	true	false	true
application.parameters_get	GET	/v1/parameters	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.proofs_query_post	POST	/v1/proofs/query	public	canonical_signed_body	authenticated_account	compute	http	feature(app_api)	true	true	false	false
application.ram_lfe_program_policies_get	GET	/v1/ram-lfe/program-policies	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.ram_lfe_programs_by_program_id_execute_post	POST	/v1/ram-lfe/programs/{program_id}/execute	public	canonical_account_signature	authenticated_account	compute	http	feature(app_api)	true	true	false	true
application.ram_lfe_receipts_verify_post	POST	/v1/ram-lfe/receipts/verify	public	canonical_account_signature	authenticated_account	compute	http	feature(app_api)	true	true	false	true
application.repo_agreements_get	GET	/v1/repo/agreements	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.repo_agreements_query_post	POST	/v1/repo/agreements/query	public	canonical_account_signature	authenticated_account	compute	http	feature(app_api)	true	true	false	true
application.rwas_get	GET	/v1/rwas	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.rwas_query_post	POST	/v1/rwas/query	public	optional_canonical_account_signature	dataspace_visible	compute	http	feature(app_api)	true	true	false	true
application.sns_names_by_namespace_by_literal_get	GET	/v1/sns/names/{namespace}/{literal}	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.sns_policies_by_suffix_id_get	GET	/v1/sns/policies/{suffix_id}	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.soracles_defi_attestations_latest_get	GET	/v1/soracles/defi/attestations/latest	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.soracles_feeds_by_feed_id_history_get	GET	/v1/soracles/feeds/{feed_id}/history	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.soracles_feeds_get	GET	/v1/soracles/feeds	public	torii_default	public	read	http	feature(app_api)	true	false	false	false
application.soracloud_agent_autonomy_allow_post	POST	/v1/soracloud/agent/autonomy/allow	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_agent_autonomy_status_get	GET	/v1/soracloud/agent/autonomy/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_agent_deploy_post	POST	/v1/soracloud/agent/deploy	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_agent_lease_renew_post	POST	/v1/soracloud/agent/lease/renew	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_agent_mailbox_status_get	GET	/v1/soracloud/agent/mailbox/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_agent_message_ack_post	POST	/v1/soracloud/agent/message/ack	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_agent_message_send_post	POST	/v1/soracloud/agent/message/send	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_agent_policy_revoke_post	POST	/v1/soracloud/agent/policy/revoke	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_agent_restart_post	POST	/v1/soracloud/agent/restart	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_agent_status_get	GET	/v1/soracloud/agent/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_agent_wallet_approve_post	POST	/v1/soracloud/agent/wallet/approve	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_agent_wallet_spend_post	POST	/v1/soracloud/agent/wallet/spend	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_apps_by_app_name_status_get	GET	/v1/soracloud/apps/{app_name}/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_apps_deploy_post	POST	/v1/soracloud/apps/deploy	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_apps_status_get	GET	/v1/soracloud/apps/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_apps_upgrade_post	POST	/v1/soracloud/apps/upgrade	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_ciphertext_query_post	POST	/v1/soracloud/ciphertext/query	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_decrypt_request_post	POST	/v1/soracloud/decrypt/request	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_deploy_post	POST	/v1/soracloud/deploy	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_fhe_job_run_post	POST	/v1/soracloud/fhe/job/run	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_health_access_request_post	POST	/v1/soracloud/health/access/request	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_health_compliance_report_get	GET	/v1/soracloud/health/compliance/report	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_hf_lease_leave_post	POST	/v1/soracloud/hf/lease/leave	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_hf_lease_renew_post	POST	/v1/soracloud/hf/lease/renew	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_hf_shared_lease_join_post	POST	/v1/soracloud/hf/lease/join	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_hf_shared_lease_status_get	GET	/v1/soracloud/hf/lease/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_model_artifact_register_post	POST	/v1/soracloud/model/artifact/register	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_model_artifact_status_get	GET	/v1/soracloud/model/artifact/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_model_upload_register_post	POST	/v1/soracloud/model/upload/register	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_model_upload_status_get	GET	/v1/soracloud/model/upload/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_model_weight_promote_post	POST	/v1/soracloud/model/weight/promote	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_model_weight_register_post	POST	/v1/soracloud/model/weight/register	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_model_weight_rollback_post	POST	/v1/soracloud/model/weight/rollback	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_model_weight_status_get	GET	/v1/soracloud/model/weight/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_rollback_post	POST	/v1/soracloud/rollback	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_rollout_post	POST	/v1/soracloud/rollout	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_service_config_delete_post	POST	/v1/soracloud/service/config/delete	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_service_config_set_post	POST	/v1/soracloud/service/config/set	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_service_config_status_get	GET	/v1/soracloud/service/config/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_service_secret_delete_post	POST	/v1/soracloud/service/secret/delete	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_service_secret_set_post	POST	/v1/soracloud/service/secret/set	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_service_secret_status_get	GET	/v1/soracloud/service/secret/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_services_by_service_name_public_discovery_get	GET	/v1/soracloud/services/{service_name}/public-discovery	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.soracloud_services_by_service_name_revisions_by_service_version_public_discovery_get	GET	/v1/soracloud/services/{service_name}/revisions/{service_version}/public-discovery	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.soracloud_state_mutate_post	POST	/v1/soracloud/state/mutate	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_status_get	GET	/v1/soracloud/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_training_job_checkpoint_post	POST	/v1/soracloud/training/job/checkpoint	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_training_job_retry_post	POST	/v1/soracloud/training/job/retry	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_training_job_start_post	POST	/v1/soracloud/training/job/start	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.soracloud_training_job_status_get	GET	/v1/soracloud/training/job/status	public	canonical_account_signature	authenticated_account	read	http	feature(app_api)	true	true	false	true
application.soracloud_upgrade_post	POST	/v1/soracloud/upgrade	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.space_directory_manifests_post	POST	/v1/space-directory/manifests	public	canonical_account_signature	authenticated_account	compute	http	feature(app_api)	true	true	false	true
application.space_directory_manifests_revoke_post	POST	/v1/space-directory/manifests/revoke	public	canonical_account_signature	authenticated_account	compute	http	feature(app_api)	true	true	false	true
application.space_directory_uaids_by_uaid_get	GET	/v1/space-directory/uaids/{uaid}	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.space_directory_uaids_by_uaid_manifests_get	GET	/v1/space-directory/uaids/{uaid}/manifests	public	optional_canonical_account_signature	dataspace_visible	read	http	feature(app_api)	true	true	false	true
application.subscriptions_by_subscription_id_cancel_post	POST	/v1/subscriptions/{subscription_id}/cancel	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.subscriptions_by_subscription_id_charge_now_post	POST	/v1/subscriptions/{subscription_id}/charge-now	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.subscriptions_by_subscription_id_get	GET	/v1/subscriptions/{subscription_id}	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.subscriptions_by_subscription_id_keep_post	POST	/v1/subscriptions/{subscription_id}/keep	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.subscriptions_by_subscription_id_pause_post	POST	/v1/subscriptions/{subscription_id}/pause	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.subscriptions_by_subscription_id_resume_post	POST	/v1/subscriptions/{subscription_id}/resume	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.subscriptions_by_subscription_id_usage_post	POST	/v1/subscriptions/{subscription_id}/usage	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.subscriptions_get	GET	/v1/subscriptions	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.subscriptions_plans_get	GET	/v1/subscriptions/plans	public	torii_default	public	read	http	feature(app_api)	true	true	false	false
application.subscriptions_plans_post	POST	/v1/subscriptions/plans	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.subscriptions_post	POST	/v1/subscriptions	public	canonical_account_signature	authenticated_account	mutation	http	feature(app_api)	true	true	false	true
application.telemetry_live_get	GET	/v1/telemetry/live	diagnostic	torii_default	public	read	http	all(app_api,telemetry)	false	true	false	false
