ivm-iso20022-schema-v1	19	193	183
record	owner	key	requirement	max_occurs	kind	values	target
alias	PACS002	Document/FIToFIPmtStsRpt/OrgnlGrpInfAndSts/OrgnlMsgId	-	-	-	-	OrgnlMsgId
alias	PACS002	Document/FIToFIPmtStsRpt/TxInfAndSts/TxSts	-	-	-	-	TxSts
alias	PACS002	Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Rsn/Cd	-	-	-	-	RsnCd
alias	PACS002	Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Rsn/Prtry	-	-	-	-	RsnCd
alias	PACS002	Document/FIToFIPmtStsRpt/OrgnlGrpInfAndSts/StsRsnInf/Rsn/Cd	-	-	-	-	RsnCd
alias	PACS002	Document/FIToFIPmtStsRpt/OrgnlGrpInfAndSts/StsRsnInf/Rsn/Prtry	-	-	-	-	RsnCd
alias	PACS002	Document/FIToFIPmtStsRpt/OrgnlGrpInfAndSts/GrpSts	-	-	-	-	TxSts
alias	PACS002	Document/FIToFIPmtStsRpt/TxInfAndSts/AddtlInf[*]	-	-	-	-	AddtlInf[*]
alias	PACS002	Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/AddtlInf[*]	-	-	-	-	AddtlInf[*]
schema	PACS004	pacs.004	-	-	-	-	-
field	PACS004	MsgId	required	none	text	-	-
field	PACS004	CreDtTm	required	none	datetime	-	-
field	PACS004	OrgnlGrpInf/OrgnlMsgId	required	none	text	-	-
field	PACS004	TxInf[*]/OrgnlInstrId	required	1024	text	-	-
field	PACS004	TxInf[*]/RtrdInstdAmt	required	1024	amount	-	-
field	PACS004	TxInf[*]/RtrdInstdAmtCcy	required	1024	identifier:currency	-	-
field	PACS004	TxInf[*]/ChrgBr	optional	none	enum	DEBT|CRED|SHAR|SLEV	-
field	PACS004	TxInf[*]/RtrdRsn/Cd	optional	none	text	-	-
field	PACS004	TxInf[*]/RtrdRsn/Prtry	optional	none	text	-	-
alias	PACS004	Document/PmtRtr/GrpHdr/MsgId	-	-	-	-	MsgId
alias	PACS004	Document/PmtRtr/GrpHdr/CreDtTm	-	-	-	-	CreDtTm
alias	PACS004	Document/PmtRtr/OrgnlGrpInf/OrgnlMsgId	-	-	-	-	OrgnlGrpInf/OrgnlMsgId
alias	PACS004	Document/PmtRtr/TxInf[*]/OrgnlInstrId	-	-	-	-	TxInf[*]/OrgnlInstrId
alias	PACS004	Document/PmtRtr/TxInf[*]/RtrdIntrBkSttlmAmt	-	-	-	-	TxInf[*]/RtrdInstdAmt
alias	PACS004	Document/PmtRtr/TxInf[*]/RtrdIntrBkSttlmAmt/@Ccy	-	-	-	-	TxInf[*]/RtrdInstdAmtCcy
alias	PACS004	Document/PmtRtr/TxInf[*]/TxRtrdInstdAmtCcy	-	-	-	-	TxInf[*]/RtrdInstdAmtCcy
alias	PACS004	Document/PmtRtr/TxInf[*]/ChrgBr	-	-	-	-	TxInf[*]/ChrgBr
alias	PACS004	Document/PmtRtr/TxInf[*]/RtrRsnInf/Rsn/Cd	-	-	-	-	TxInf[*]/RtrdRsn/Cd
alias	PACS004	Document/PmtRtr/TxInf[*]/RtrRsnInf/Rsn/Prtry	-	-	-	-	TxInf[*]/RtrdRsn/Prtry
schema	PACS028	pacs.028	-	-	-	-	-
field	PACS028	MsgId	required	none	text	-	-
field	PACS028	CreDtTm	required	none	datetime	-	-
field	PACS028	OrgnlGrpInf/OrgnlMsgId	required	none	text	-	-
field	PACS028	OrgnlGrpInf/OrgnlCreDtTm	optional	none	datetime	-	-
schema	PACS029	pacs.029	-	-	-	-	-
field	PACS029	MsgId	required	none	text	-	-
field	PACS029	CreDtTm	required	none	datetime	-	-
field	PACS029	OrgnlGrpInf/OrgnlMsgId	required	none	text	-	-
field	PACS029	TxInfAndSts[*]/TxSts	required	1024	enum	ACSC|RJCT|PDNG|ACSP|MS02|MS03	-
field	PACS029	TxInfAndSts[*]/StsRsnInf/Rsn/Cd	optional	none	text	-	-
schema	CAMT052	camt.052	-	-	-	-	-
field	CAMT052	Rpt/Id	required	none	text	-	-
field	CAMT052	Rpt/CreDtTm	required	none	datetime	-	-
field	CAMT052	Rpt/Acct/Id	required	none	text	-	-
field	CAMT052	Rpt/Acct/Ccy	required	none	identifier:currency	-	-
field	CAMT052	Rpt/Ntry[*]/Amt	optional	256	amount	-	-
field	CAMT052	Rpt/Ntry[*]/CdtDbtInd	optional	256	enum	CRDT|DBIT	-
field	CAMT052	Rpt/Ntry[*]/BookgDt	optional	256	date	-	-
alias	CAMT052	Document/BkToCstmrAcctRpt/Rpt/Id	-	-	-	-	Rpt/Id
alias	CAMT052	Document/BkToCstmrAcctRpt/Rpt/CreDtTm	-	-	-	-	Rpt/CreDtTm
alias	CAMT052	Document/BkToCstmrAcctRpt/Rpt/Acct/Id/IBAN	-	-	-	-	Rpt/Acct/Id
alias	CAMT052	Document/BkToCstmrAcctRpt/Rpt/Acct/Id/Othr/Id	-	-	-	-	Rpt/Acct/Id
alias	CAMT052	Document/BkToCstmrAcctRpt/Rpt/Acct/Ccy	-	-	-	-	Rpt/Acct/Ccy
alias	CAMT052	Document/BkToCstmrAcctRpt/Rpt/Ntry[*]/Amt	-	-	-	-	Rpt/Ntry[*]/Amt
alias	CAMT052	Document/BkToCstmrAcctRpt/Rpt/Ntry[*]/CdtDbtInd	-	-	-	-	Rpt/Ntry[*]/CdtDbtInd
alias	CAMT052	Document/BkToCstmrAcctRpt/Rpt/Ntry[*]/BookgDt/Dt	-	-	-	-	Rpt/Ntry[*]/BookgDt
schema	CAMT053	camt.053	-	-	-	-	-
field	CAMT053	Stmt/Id	required	none	text	-	-
field	CAMT053	Stmt/Acct/Id	required	none	identifier:iban	-	-
field	CAMT053	Stmt/Acct/Ccy	required	none	identifier:currency	-	-
field	CAMT053	Stmt/Bal[*]/Amt	required	64	amount	-	-
field	CAMT053	Stmt/Bal[*]/Ccy	required	64	identifier:currency	-	-
field	CAMT053	Stmt/Bal[*]/Cd	required	64	enum	CRDT|DBIT|PRCD|OPBD	-
field	CAMT053	Stmt/Bal[*]/Dt	optional	none	date	-	-
schema	CAMT054	camt.054	-	-	-	-	-
field	CAMT054	Ntfctn/Id	required	none	text	-	-
field	CAMT054	Ntfctn/Acct/Id	required	none	identifier:iban	-	-
field	CAMT054	Ntfctn/Ntry[*]/Amt	required	256	amount	-	-
field	CAMT054	Ntfctn/Ntry[*]/Ccy	required	256	identifier:currency	-	-
field	CAMT054	Ntfctn/Ntry[*]/CdtDbtInd	required	256	enum	CRDT|DBIT	-
field	CAMT054	Ntfctn/Ntry[*]/BookgDt	optional	none	date	-	-
schema	CAMT029	camt.029	-	-	-	-	-
field	CAMT029	Assgnmt/Id	required	none	text	-	-
field	CAMT029	Assgnmt/CreDtTm	required	none	datetime	-	-
field	CAMT029	Sts	required	none	enum	CNCL|PDCR|RJCR	-
field	CAMT029	CxlDtls/OrgnlGrpInf/OrgnlMsgId	required	none	text	-	-
field	CAMT029	CxlDtls/OrgnlGrpInf/OrgnlMsgNmId	optional	none	text	-	-
field	CAMT029	CxlDtls/OrgnlGrpInf/OrgnlCreDtTm	optional	none	datetime	-	-
field	CAMT029	CxlDtls/TxInfAndSts/OrgnlInstrId	optional	none	text	-	-
field	CAMT029	CxlDtls/TxInfAndSts/TxCxlSts	optional	none	enum	CNCL|PDCR|RJCR	-
field	CAMT029	CxlDtls/TxInfAndSts/CxlStsRsnInf/Rsn/Cd	optional	none	text	-	-
field	CAMT029	CxlDtls/TxInfAndSts/CxlStsRsnInf/Rsn/Prtry	optional	none	text	-	-
field	CAMT029	CxlDtls/TxInfAndSts/CxlStsRsnInf/AddtlInf	optional	none	text	-	-
alias	CAMT029	Document/RsltnOfInvstgtn/Assgnmt/Id	-	-	-	-	Assgnmt/Id
alias	CAMT029	Document/RsltnOfInvstgtn/Assgnmt/CreDtTm	-	-	-	-	Assgnmt/CreDtTm
alias	CAMT029	Document/RsltnOfInvstgtn/Sts/Conf	-	-	-	-	Sts
alias	CAMT029	Document/RsltnOfInvstgtn/CxlDtls/OrgnlGrpInf/OrgnlMsgId	-	-	-	-	CxlDtls/OrgnlGrpInf/OrgnlMsgId
alias	CAMT029	Document/RsltnOfInvstgtn/CxlDtls/OrgnlGrpInf/OrgnlMsgNmId	-	-	-	-	CxlDtls/OrgnlGrpInf/OrgnlMsgNmId
alias	CAMT029	Document/RsltnOfInvstgtn/CxlDtls/OrgnlGrpInf/OrgnlCreDtTm	-	-	-	-	CxlDtls/OrgnlGrpInf/OrgnlCreDtTm
alias	CAMT029	Document/RsltnOfInvstgtn/CxlDtls/TxInfAndSts/OrgnlInstrId	-	-	-	-	CxlDtls/TxInfAndSts/OrgnlInstrId
alias	CAMT029	Document/RsltnOfInvstgtn/CxlDtls/TxInfAndSts/TxCxlSts	-	-	-	-	CxlDtls/TxInfAndSts/TxCxlSts
alias	CAMT029	Document/RsltnOfInvstgtn/CxlDtls/TxInfAndSts/CxlStsRsnInf/Rsn/Cd	-	-	-	-	CxlDtls/TxInfAndSts/CxlStsRsnInf/Rsn/Cd
alias	CAMT029	Document/RsltnOfInvstgtn/CxlDtls/TxInfAndSts/CxlStsRsnInf/Rsn/Prtry	-	-	-	-	CxlDtls/TxInfAndSts/CxlStsRsnInf/Rsn/Prtry
alias	CAMT029	Document/RsltnOfInvstgtn/CxlDtls/TxInfAndSts/CxlStsRsnInf/AddtlInf	-	-	-	-	CxlDtls/TxInfAndSts/CxlStsRsnInf/AddtlInf
schema	CAMT056	camt.056	-	-	-	-	-
field	CAMT056	Assgnmt/Id	required	none	text	-	-
field	CAMT056	Assgnmt/CreDtTm	required	none	datetime	-	-
field	CAMT056	Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgId	required	none	text	-	-
field	CAMT056	Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgNmId	optional	none	text	-	-
field	CAMT056	Undrlyg/TxInf/OrgnlCreDtTm	optional	none	datetime	-	-
field	CAMT056	Undrlyg/TxInf/OrgnlInstrId	optional	1024	text	-	-
field	CAMT056	Undrlyg/TxInf/OrgnlEndToEndId	optional	1024	text	-	-
field	CAMT056	Undrlyg/TxInf/OrgnlTxId	optional	1024	text	-	-
field	CAMT056	Undrlyg/TxInf/CxlRsnInf/Rsn/Cd	optional	1024	text	-	-
field	CAMT056	Undrlyg/TxInf/CxlRsnInf/Rsn/Prtry	optional	1024	text	-	-
field	CAMT056	Undrlyg/TxInf/CxlRsnInf/AddtlInf	optional	1024	text	-	-
alias	CAMT056	Document/FIToFIPmtCxlReq/Assgnmt/Id	-	-	-	-	Assgnmt/Id
alias	CAMT056	Document/FIToFIPmtCxlReq/Assgnmt/CreDtTm	-	-	-	-	Assgnmt/CreDtTm
alias	CAMT056	Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgId	-	-	-	-	Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgId
alias	CAMT056	Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgNmId	-	-	-	-	Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgNmId
alias	CAMT056	Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlCreDtTm	-	-	-	-	Undrlyg/TxInf/OrgnlCreDtTm
alias	CAMT056	Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlInstrId	-	-	-	-	Undrlyg/TxInf/OrgnlInstrId
alias	CAMT056	Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlEndToEndId	-	-	-	-	Undrlyg/TxInf/OrgnlEndToEndId
alias	CAMT056	Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxId	-	-	-	-	Undrlyg/TxInf/OrgnlTxId
alias	CAMT056	Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Rsn/Cd	-	-	-	-	Undrlyg/TxInf/CxlRsnInf/Rsn/Cd
alias	CAMT056	Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Rsn/Prtry	-	-	-	-	Undrlyg/TxInf/CxlRsnInf/Rsn/Prtry
alias	CAMT056	Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/AddtlInf	-	-	-	-	Undrlyg/TxInf/CxlRsnInf/AddtlInf
schema	PAIN001	pain.001	-	-	-	-	-
field	PAIN001	GrpHdr/MsgId	required	none	text	-	-
field	PAIN001	GrpHdr/CreDtTm	required	none	datetime	-	-
field	PAIN001	GrpHdr/NbOfTxs	required	none	numeric	-	-
field	PAIN001	GrpHdr/InitgPty/Nm	required	none	text	-	-
field	PAIN001	PmtInf[*]/PmtInfId	required	64	text	-	-
field	PAIN001	PmtInf[*]/ReqdExctnDt	required	64	date	-	-
field	PAIN001	PmtInf[*]/DbtrAcct/Id	required	64	identifier:iban	-	-
field	PAIN001	PmtInf[*]/CdtTrfTxInf[*]/Amt	required	1024	amount	-	-
field	PAIN001	PmtInf[*]/CdtTrfTxInf[*]/Ccy	required	1024	identifier:currency	-	-
field	PAIN001	PmtInf[*]/CdtTrfTxInf[*]/CdtrAcct/Id	required	1024	identifier:iban	-	-
field	PAIN001	PmtInf[*]/CdtTrfTxInf[*]/CdtrAgt	required	1024	identifier:bic	-	-
field	PAIN001	PmtInf[*]/CdtTrfTxInf[*]/EndToEndId	required	1024	text	-	-
schema	PAIN002	pain.002	-	-	-	-	-
field	PAIN002	GrpHdr/MsgId	required	none	text	-	-
field	PAIN002	GrpHdr/CreDtTm	required	none	datetime	-	-
field	PAIN002	OrgnlGrpInfAndSts/OrgnlMsgId	required	none	text	-	-
field	PAIN002	OrgnlGrpInfAndSts/GrpSts	required	none	enum	ACSP|RJCT|ACSC|PDNG|PART	-
field	PAIN002	OrgnlGrpInfAndSts/StsRsnInf/Rsn/Cd	optional	none	text	-	-
schema	PACS007	pacs.007	-	-	-	-	-
field	PACS007	MsgId	required	none	text	-	-
field	PACS007	CreDtTm	required	none	datetime	-	-
field	PACS007	OrgnlGrpInf/OrgnlMsgId	required	none	text	-	-
field	PACS007	TxInf[*]/OrgnlInstrId	required	1024	text	-	-
field	PACS007	TxInf[*]/OrgnlEndToEndId	optional	1024	text	-	-
field	PACS007	TxInf[*]/OrgnlTxId	optional	1024	text	-	-
field	PACS007	TxInf[*]/CxlRsnInf/Rsn/Cd	optional	1024	text	-	-
field	PACS007	SplmtryData/LedgerInstruction	optional	none	text	-	-
schema	PACS009	pacs.009	-	-	-	-	-
field	PACS009	BizMsgIdr	required	none	text	-	-
field	PACS009	MsgDefIdr	required	none	text	-	-
field	PACS009	CreDtTm	required	none	datetime	-	-
field	PACS009	IntrBkSttlmAmt	required	none	amount	-	-
field	PACS009	IntrBkSttlmCcy	required	none	identifier:currency	-	-
field	PACS009	IntrBkSttlmDt	required	none	date	-	-
field	PACS009	InstgAgt	required	none	identifier:bic	-	-
field	PACS009	InstdAgt	required	none	identifier:bic	-	-
field	PACS009	DbtrAcct	required	none	identifier:iban	-	-
field	PACS009	CdtrAcct	required	none	identifier:iban	-	-
field	PACS009	Purp	optional	none	text	-	-
alias	PACS009	AppHdr/BizMsgIdr	-	-	-	-	BizMsgIdr
alias	PACS009	AppHdr/MsgDefIdr	-	-	-	-	MsgDefIdr
alias	PACS009	AppHdr/CreDt	-	-	-	-	CreDtTm
alias	PACS009	Document/FICdtTrf/GrpHdr/MsgId	-	-	-	-	BizMsgIdr
alias	PACS009	Document/FICdtTrf/GrpHdr/BizMsgIdr	-	-	-	-	BizMsgIdr
alias	PACS009	Document/FICdtTrf/GrpHdr/MsgDefIdr	-	-	-	-	MsgDefIdr
alias	PACS009	Document/FICdtTrf/GrpHdr/CreDtTm	-	-	-	-	CreDtTm
alias	PACS009	Document/FICdtTrf/GrpHdr/InstgAgt/FinInstnId/ClrSysMmbId/MmbId	-	-	-	-	InstgAgt
alias	PACS009	Document/FICdtTrf/GrpHdr/InstgAgt/FinInstnId/BICFI	-	-	-	-	InstgAgt
alias	PACS009	Document/FICdtTrf/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId/MmbId	-	-	-	-	InstdAgt
alias	PACS009	Document/FICdtTrf/GrpHdr/InstdAgt/FinInstnId/BICFI	-	-	-	-	InstdAgt
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/IntrBkSttlmAmt	-	-	-	-	IntrBkSttlmAmt
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/IntrBkSttlmAmt/@Ccy	-	-	-	-	IntrBkSttlmCcy
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/IntrBkSttlmDt	-	-	-	-	IntrBkSttlmDt
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/InstgAgt/FinInstnId/ClrSysMmbId/MmbId	-	-	-	-	InstgAgt
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/InstgAgt/FinInstnId/BICFI	-	-	-	-	InstgAgt
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/InstdAgt/FinInstnId/ClrSysMmbId/MmbId	-	-	-	-	InstdAgt
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/InstdAgt/FinInstnId/BICFI	-	-	-	-	InstdAgt
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/DbtrAcct/Id/IBAN	-	-	-	-	DbtrAcct
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/DbtrAcct/Id/Othr/Id	-	-	-	-	DbtrAcct
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/CdtrAcct/Id/IBAN	-	-	-	-	CdtrAcct
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/CdtrAcct/Id/Othr/Id	-	-	-	-	CdtrAcct
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/Purp/Cd	-	-	-	-	Purp
alias	PACS009	Document/FICdtTrf/CdtTrfTxInf/Purp/Prtry	-	-	-	-	Purp
schema	SESE023	sese.023	-	-	-	-	-
field	SESE023	TxId	required	none	text	-	-
field	SESE023	SttlmDt	required	none	date	-	-
field	SESE023	SttlmTpAndAddtlParams/SctiesMvmntTp	required	none	enum	DELI|RECE	-
field	SESE023	SttlmTpAndAddtlParams/Pmt	required	none	enum	APMT|FREE	-
field	SESE023	SttlmParams/HldInd	optional	none	enum	true|false	-
field	SESE023	SttlmParams/PrtlSttlmInd	optional	none	enum	NPAR|PART|PARQ|PARC	-
field	SESE023	SttlmParams/SttlmTxCond/Cd	optional	none	text	-	-
field	SESE023	PlcOfSttlm/MktId	optional	none	identifier:mic	-	-
field	SESE023	Lnkgs/Lnkg[*]/Tp/Cd	optional	16	enum	WITH|BEFO|AFTE	-
