# FASTPQ Digest384 independent Python bigint/hashlib reference v1
# parameter_sha3_256=84c5055b47cc7289835e0a5f31d4563849244ffddbf51f5d67b1db95222ce3e6
# name	catalog_hex	protocol_hex	profile_hex	role_hex	phase_hex	level	index	counter	fields_hex_comma_or_dash	digest_hex
length-57	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,9e2168b3fa0d549f2669b0fb02559c276eb1f8034a9d246fb6f9004b92256cb7fe014893da6db4ff064990db62b5fc074e91d863aafd044f96	c4918d2d468103d24201c67b2bff6d935285fc9684cc903433b17ea9fcf27f6409341b3954adc5fd5e9a31f0f3c96548
length-135	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,a0eb32458cd71ea1e8337a8dd41fa6e9307b82d51ca7ee317883ca1da4ef367980cb12a5ec377e81c8135aed347f86c9105be2357c87ce1158e32a7d84cf1659e02b7285cc175ee12873bacd145fe62970bbc2155ce72e71b8c30a5de42f76b9c00b52e52c77bec108539a2d74bfc609509b2275bcc70e5198236abdc40f5699206bb2c50c579e	975eb5df46ed1faa721dca88b57edcd277adcd620e019eebf282582cc402268733afb8f2275ff1462efe6c6f10763551
length-136	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,bdc40f5699206bb2c50c579e2168b3fa0d549f2669b0fb02559c276eb1f8034a9d246fb6f9004b92256cb7fe014893da6db4ff064990db62b5fc074e91d863aafd044f96d960abf2054c97de61a8f33a4d94df66a9f03b4295dc67aef138438add64aff639408bd265acf73e4188d31aadf43f4689d01ba2f53c478ed118a3ea3d448fd619a0eb32	e346ef91bfb5ae9c8a731f751fcb24d0700bff014947d19df9dd3e3d5d620d4794e9d1dbf3b9222786614a5db39b3905
length-137	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,8ed118a3ea3d448fd619a0eb32458cd71ea1e8337a8dd41fa6e9307b82d51ca7ee317883ca1da4ef367980cb12a5ec377e81c8135aed347f86c9105be2357c87ce1158e32a7d84cf1659e02b7285cc175ee12873bacd145fe62970bbc2155ce72e71b8c30a5de42f76b9c00b52e52c77bec108539a2d74bfc609509b2275bcc70e5198236abdc40f56	6be67fd398b870c0a43fc4e8e8e49ca08815433499f80ca9d55115cb7938774cd574d670a8af79836e080189128de6cd
domain-catalog	6368616e67656400	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	616263	1c3a5d35c41c26b05a184a3b04ac1d44de363478d7d88643b10115b0a56c7648ac751352bf23496de31d177744f84509
domain-protocol	69726f68612d707269766163792d657861637431322d7631	6368616e67656400	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	616263	1df1ea5ebb0623b602dc0cd6233590f0b6c9aaff4028bd20ef1e96f847bf6cd0ba48020bc8048e50061ab7968a4a0e30
domain-profile	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6368616e67656400	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	616263	b7872d0be902132ac2a72c4bca9a600a20704d3bfa26c1e2a22a8cee78cd77966f46c0a288d91fcdebccdabf12bfdf19
domain-role	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6368616e67656400	6c656166	0	7	0	616263	9226b2458fb192db0575bc40281af7e29ac7afdc561be1e70f76f13c91f3c3ee5a41b256c4fde5f91a8eb4a9827b2dab
domain-phase	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6368616e67656400	0	7	0	616263	351eec772ea5c8cc302e02aba5f5146a20f462ebd6921a9109762529ca46587fa4dea0f78f9f9c3a3e96c1e6e0f9c351
domain-level	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	18446744073709551615	7	0	616263	67026b42db5514cec4260252bb6c5a073993ccdd595b57649dc7d93bd13385363537e661549d6fc163c1076f0b265aad
domain-index	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	18446744073709551615	0	616263	e2d53c6cb63d96544b27d41ea3315a6f66cb2370bcbf17414f5cca36512941ef2ecafab5da3ac77fa0341a3f0527149f
domain-counter	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	18446744073709551615	616263	7a5e164901a7df9278d62a28affe25312af69be5068a08dd868601681f9230fdfa8247ae79a3e45a2d9108634107d527
empty-domain						0	0	0	616263	556ed7eebb9865d33ac992e00ea19c8434809d5e13fb67dd6377a98b362c69d569c12930caa7eaa776009d3e9c547008
